Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3,Total Connectivity R3
375,8,0.98558021,22,0.012383901,0.249195657,0.032119914
376,6,0.8619656,18,0.009287926,0.201967797,0.023554604
377,8,1,24,0.012383901,0.254704842,0.03640257
378,6,0.8619656,18,0.009287926,0.201967797,0.023554604
379,6,0.84912294,16,0.009287926,0.197061165,0.019271949
380,6,0.8619656,21,0.009287926,0.201967797,0.029978587
381,8,1.0207884,36,0.012383901,0.262647202,0.062098501
382,204,2.6657867,261,0.315789474,0.891130757,0.543897216
383,191,2.334126,280,0.295665635,0.764417376,0.584582441
384,227,2.4541271,259,0.351393189,0.810264668,0.539614561
385,15,2.0250261,218,0.023219814,0.646323513,0.451820128
386,132,2.3951468,241,0.204334365,0.787730816,0.501070664
387,8,2.0250261,218,0.012383901,0.646323513,0.451820128
388,7,1.8855816,150,0.010835913,0.593047728,0.30620985
389,12,1.7081656,139,0.018575851,0.525264656,0.282655246
390,32,2.0531514,217,0.049535604,0.657068988,0.449678801
391,58,2.0321984,184,0.089783282,0.649063742,0.379014989
392,9,1.6693437,146,0.013931889,0.510432467,0.29764454
393,9,1.7520223,169,0.013931889,0.542020427,0.346895075
394,48,2.3334558,237,0.074303406,0.764161321,0.492505353
395,2,1.7297633,159,0.003095975,0.533516214,0.325481799
396,45,1.8337219,136,0.069659443,0.573234353,0.276231263
397,1,1.1981546,67,0.001547988,0.330411247,0.128479657
398,11,1.1191936,68,0.017027864,0.300243623,0.130620985
399,6,1.1981546,67,0.009287926,0.330411247,0.128479657
400,4,1.6693437,144,0.00619195,0.510432467,0.293361884
401,14,1.693624,163,0.021671827,0.519708932,0.334047109
402,15,1.6693437,143,0.023219814,0.510432467,0.291220557
403,20,1.9643579,202,0.030959752,0.623144786,0.417558887
404,10,1.8614054,193,0.015479876,0.583811035,0.398286938
405,18,1.6092162,121,0.027863777,0.487460319,0.244111349
406,6,1.0102814,49,0.009287926,0.258632926,0.08993576
407,26,1.6659329,152,0.040247678,0.509129346,0.310492505
408,15,1.2052853,52,0.023219814,0.333135583,0.096359743
409,3,0.84912294,19,0.004643963,0.197061165,0.025695931
410,1,0.70398736,12,0.001547988,0.141611062,0.010706638
411,1,0.84912294,19,0.001547988,0.197061165,0.025695931
412,0,0.9216888,48,0,0.224785479,0.087794433
413,4,1.5469,125,0.00619195,0.463651962,0.25267666
414,7,1.3443909,88,0.010835913,0.386281888,0.173447537
415,107,2.1057987,177,0.165634675,0.677183272,0.364025696
