Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
356,20,1.6100973,89,0.024242424,0.480435196,0.182628062
357,74,2.0531211,226,0.08969697,0.647141206,0.487750557
358,14,1.5003179,137,0.016969697,0.43912616,0.289532294
359,146,2.193917,229,0.176969697,0.700121481,0.494432071
360,261,2.4515421,238,0.316363636,0.79706357,0.514476615
361,74,2.1398234,162,0.08969697,0.679766529,0.345211581
362,26,1.7372102,127,0.031515152,0.528266677,0.267260579
363,20,1.6883124,162,0.024242424,0.509866859,0.345211581
364,37,1.8518485,146,0.044848485,0.571404074,0.309576837
365,34,1.9491093,118,0.041212121,0.608002469,0.247216036
366,51,2.040309,131,0.061818182,0.642320124,0.276169265
367,26,1.7555087,141,0.031515152,0.535152243,0.29844098
368,34,1.9533483,162,0.041212121,0.609597567,0.345211581
369,78,2.206125,183,0.094545455,0.704715246,0.391982183
370,106,2.2063715,186,0.128484848,0.704808001,0.398663697
371,16,1.5212561,130,0.019393939,0.447005023,0.273942094
372,22,1.3057258,28,0.026666667,0.365902842,0.046770601
373,18,1.2063863,25,0.021818182,0.328522251,0.040089087
374,8,0.98558021,21,0.00969697,0.245434836,0.031180401
375,8,1,25,0.00969697,0.250860877,0.040089087
376,8,1,25,0.00969697,0.250860877,0.040089087
377,6,0.8870222,23,0.007272727,0.208348312,0.035634744
378,16,1.3057258,29,0.019393939,0.365902842,0.048997773
379,12,1.2052853,33,0.014545455,0.328107954,0.057906459
380,10,1.1365665,42,0.012121212,0.302249666,0.077951002
381,16,1.4255327,68,0.019393939,0.410985139,0.135857461
382,81,1.9345245,135,0.098181818,0.602514335,0.285077951
383,12,1.2906152,61,0.014545455,0.360216855,0.120267261
384,12,1.2052853,38,0.014545455,0.328107954,0.069042316
385,14,1.4028426,63,0.016969697,0.402447051,0.124721604
386,51,1.8518485,136,0.061818182,0.571404074,0.287305122
387,12,1.3088794,67,0.014545455,0.367089515,0.13363029
388,12,1.2052853,37,0.014545455,0.328107954,0.066815145
389,12,1.2222222,25,0.014545455,0.334481162,0.040089087
390,8,0.98558021,22,0.00969697,0.245434836,0.033407572
391,6,0.8870222,22,0.007272727,0.208348312,0.033407572
392,10,1.1365665,30,0.012121212,0.302249666,0.051224944
393,6,0.8870222,22,0.007272727,0.208348312,0.033407572
394,6,0.84912294,16,0.007272727,0.194087149,0.020044543
395,6,0.84912294,19,0.007272727,0.194087149,0.026726058
396,6,0.9792943,47,0.007272727,0.243069502,0.08908686
397,16,1.507236,122,0.019393939,0.441729381,0.256124722
398,48,1.6261337,39,0.058181818,0.486469554,0.071269488
399,0,0.68957245,30,0,0.134049685,0.051224944
400,12,1.3076391,57,0.014545455,0.3666228,0.111358575
401,48,1.9244691,73,0.058181818,0.598730575,0.146993318
402,40,1.9174613,89,0.048484848,0.596093601,0.182628062
403,41,1.8391043,118,0.04969697,0.566608542,0.247216036
404,40,1.8880572,128,0.048484848,0.585029093,0.269487751
405,18,1.6042534,85,0.021818182,0.478236187,0.173719376
406,0,0.88468331,50,0,0.207468208,0.095768374
407,47,2.138299,68,0.056969697,0.679192911,0.135857461
408,0,1.550553,61,0,0.458029192,0.120267261
409,49,2.2640812,68,0.059393939,0.726523661,0.135857461
410,26,1.7925211,65,0.031515152,0.549079688,0.129175947
411,10,1.1981546,62,0.012121212,0.325424733,0.122494432
412,8,1.0697098,53,0.00969697,0.27709207,0.102449889
413,16,1.4028426,78,0.019393939,0.402447051,0.158129176
414,50,1.8912494,154,0.060606061,0.58623029,0.327394209
415,112,2.3628452,297,0.135757576,0.763687696,0.645879733
416,22,1.6992515,155,0.026666667,0.513983147,0.329621381
417,8,1.0952908,58,0.00969697,0.286717978,0.113585746
418,6,0.8870222,29,0.007272727,0.208348312,0.048997773
419,8,0.98558021,22,0.00969697,0.245434836,0.033407572
420,12,1.2222222,23,0.014545455,0.334481162,0.035634744
421,0,1.9276668,239,0,0.599933842,0.516703786
422,105,2.4240115,317,0.127272727,0.786704044,0.690423163
423,697,2.9571676,296,0.844848485,0.987326057,0.643652561
424,243,2.520977,282,0.294545455,0.82319132,0.61247216
425,12,1.2241485,77,0.014545455,0.335206012,0.155902004
426,8,0.98558021,25,0.00969697,0.245434836,0.040089087
427,6,0.8619656,19,0.007272727,0.198919731,0.026726058
428,6,0.84912294,15,0.007272727,0.194087149,0.017817372
429,6,0.84912294,15,0.007272727,0.194087149,0.017817372
