Cluster_Kmeans_740984,Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
2,369,78,2.206125,183,0.094545455,0.704715246,0.391982183
2,370,106,2.2063715,186,0.128484848,0.704808001,0.398663697
2,371,16,1.5212561,130,0.019393939,0.447005023,0.273942094
3,372,22,1.3057258,28,0.026666667,0.365902842,0.046770601
3,373,18,1.2063863,25,0.021818182,0.328522251,0.040089087
3,374,8,0.98558021,21,0.00969697,0.245434836,0.031180401
3,375,8,1,25,0.00969697,0.250860877,0.040089087
3,376,8,1,25,0.00969697,0.250860877,0.040089087
3,377,6,0.8870222,23,0.007272727,0.208348312,0.035634744
3,378,16,1.3057258,29,0.019393939,0.365902842,0.048997773
3,379,12,1.2052853,33,0.014545455,0.328107954,0.057906459
3,380,10,1.1365665,42,0.012121212,0.302249666,0.077951002
3,381,16,1.4255327,68,0.019393939,0.410985139,0.135857461
2,382,81,1.9345245,135,0.098181818,0.602514335,0.285077951
3,383,12,1.2906152,61,0.014545455,0.360216855,0.120267261
3,384,12,1.2052853,38,0.014545455,0.328107954,0.069042316
3,385,14,1.4028426,63,0.016969697,0.402447051,0.124721604
2,386,51,1.8518485,136,0.061818182,0.571404074,0.287305122
3,387,12,1.3088794,67,0.014545455,0.367089515,0.13363029
3,388,12,1.2052853,37,0.014545455,0.328107954,0.066815145
3,389,12,1.2222222,25,0.014545455,0.334481162,0.040089087
3,390,8,0.98558021,22,0.00969697,0.245434836,0.033407572
3,391,6,0.8870222,22,0.007272727,0.208348312,0.033407572
3,392,10,1.1365665,30,0.012121212,0.302249666,0.051224944
3,393,6,0.8870222,22,0.007272727,0.208348312,0.033407572
3,394,6,0.84912294,16,0.007272727,0.194087149,0.020044543
3,395,6,0.84912294,19,0.007272727,0.194087149,0.026726058
3,396,6,0.9792943,47,0.007272727,0.243069502,0.08908686
2,397,16,1.507236,122,0.019393939,0.441729381,0.256124722
3,398,48,1.6261337,39,0.058181818,0.486469554,0.071269488
3,399,0,0.68957245,30,0,0.134049685,0.051224944
3,400,12,1.3076391,57,0.014545455,0.3666228,0.111358575
2,401,48,1.9244691,73,0.058181818,0.598730575,0.146993318
2,402,40,1.9174613,89,0.048484848,0.596093601,0.182628062
2,403,41,1.8391043,118,0.04969697,0.566608542,0.247216036
2,404,40,1.8880572,128,0.048484848,0.585029093,0.269487751
3,405,18,1.6042534,85,0.021818182,0.478236187,0.173719376
3,406,0,0.88468331,50,0,0.207468208,0.095768374
2,407,47,2.138299,68,0.056969697,0.679192911,0.135857461
3,408,0,1.550553,61,0,0.458029192,0.120267261
2,409,49,2.2640812,68,0.059393939,0.726523661,0.135857461
3,410,26,1.7925211,65,0.031515152,0.549079688,0.129175947
3,411,10,1.1981546,62,0.012121212,0.325424733,0.122494432
3,412,8,1.0697098,53,0.00969697,0.27709207,0.102449889
3,413,16,1.4028426,78,0.019393939,0.402447051,0.158129176
