Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
425,20,1.4666082,62,0.023894863,0.420059627,0.128805621
426,44,1.7909094,88,0.052568698,0.5402651,0.18969555
427,58,1.9051077,99,0.069295102,0.582593839,0.215456674
428,22,1.6071428,88,0.026284349,0.472150178,0.18969555
429,10,1.1768752,59,0.011947431,0.312667201,0.121779859
430,10,1.1365665,44,0.011947431,0.29772638,0.086651054
431,18,1.5154221,37,0.021505376,0.438152986,0.070257611
432,18,1.5154221,35,0.021505376,0.438152986,0.06557377
433,10,1.1058542,30,0.011947431,0.28634256,0.053864169
434,6,0.8870222,26,0.007168459,0.205230297,0.044496487
435,6,0.84912294,16,0.007168459,0.191182558,0.021077283
436,6,0.84912294,14,0.007168459,0.191182558,0.016393443
437,6,0.84912294,14,0.007168459,0.191182558,0.016393443
438,6,0.84912294,14,0.007168459,0.191182558,0.016393443
439,6,0.84912294,14,0.007168459,0.191182558,0.016393443
440,6,0.84912294,15,0.007168459,0.191182558,0.018735363
441,6,0.8619656,22,0.007168459,0.195942818,0.035128806
442,8,1.0445806,41,0.009557945,0.263630889,0.079625293
443,18,1.4896638,80,0.021505376,0.428605415,0.170960187
444,12,1.2222222,24,0.014336918,0.329475519,0.039812646
445,8,0.98558021,21,0.009557945,0.241761806,0.032786885
446,6,0.8619656,19,0.007168459,0.195942818,0.028103044
447,6,0.84912294,15,0.007168459,0.191182558,0.018735363
448,6,0.84912294,14,0.007168459,0.191182558,0.016393443
449,6,0.84912294,14,0.007168459,0.191182558,0.016393443
450,6,0.84912294,14,0.007168459,0.191182558,0.016393443
451,6,0.84912294,15,0.007168459,0.191182558,0.018735363
452,6,0.8619656,20,0.007168459,0.195942818,0.030444965
453,8,1,26,0.009557945,0.247106645,0.044496487
454,14,1.3057258,29,0.016726404,0.360426961,0.051522248
455,12,1.2063863,30,0.014336918,0.323605785,0.053864169
456,8,0.98558021,22,0.009557945,0.241761806,0.035128806
457,6,0.8619656,19,0.007168459,0.195942818,0.028103044
458,6,0.84912294,15,0.007168459,0.191182558,0.018735363
459,6,0.84912294,14,0.007168459,0.191182558,0.016393443
460,6,0.84912294,14,0.007168459,0.191182558,0.016393443
