Ref,Choice R3,Integration [HH] R3,Total Depth R3,Choice R3,Integration [HH] R3,Total Depth R3
428,22,1.6981779,36,0.166666667,0.659525194,0.306122449
429,10,1.6261337,34,0.075757576,0.624711732,0.285714286
430,10,1.6132691,37,0.075757576,0.618495253,0.316326531
431,19,1.6734514,42,0.143939394,0.647576764,0.367346939
432,29,1.7495173,41,0.21969697,0.684333607,0.357142857
433,22,1.6734514,42,0.166666667,0.647576764,0.367346939
434,10,1.3845592,31,0.075757576,0.507977216,0.255102041
435,3,0.98558021,17,0.022727273,0.315181125,0.112244898
436,3,0.98558021,17,0.022727273,0.315181125,0.112244898
437,10,1.3845592,31,0.075757576,0.507977216,0.255102041
438,26,1.606352,40,0.196969697,0.615152746,0.346938776
439,32,1.6474625,31,0.242424242,0.635018313,0.255102041
440,24,1.471094,30,0.181818182,0.549792879,0.244897959
441,44,1.7841618,64,0.333333333,0.70107465,0.591836735
442,40,1.7325417,62,0.303030303,0.676130596,0.571428571
443,32,1.6071428,49,0.242424242,0.615534879,0.43877551
444,0,1.0445806,26,0,0.34369151,0.204081633
445,45,1.8900454,59,0.340909091,0.752240111,0.540816327
446,40,1.8962001,56,0.303030303,0.755214208,0.510204082
447,0,1.3076391,32,0,0.470807603,0.265306122
448,0,1.3076391,32,0,0.470807603,0.265306122
449,50,1.7852225,52,0.378787879,0.701587205,0.469387755
450,0,1.238816,33,0,0.437550652,0.275510204
451,44,1.7852225,52,0.333333333,0.701587205,0.469387755
452,28,1.5364467,38,0.212121212,0.581372851,0.326530612
453,0,1.1365665,28,0,0.388141274,0.224489796
454,14,1.2989333,26,0.106060606,0.466600754,0.204081633
455,8,1,20,0.060606061,0.322149109,0.142857143
456,6,0.8619656,15,0.045454545,0.25544762,0.091836735
457,6,0.84912294,12,0.045454545,0.249241742,0.06122449
458,6,0.8619656,15,0.045454545,0.25544762,0.091836735
459,8,0.98558021,17,0.060606061,0.315181125,0.112244898
460,12,1.2123377,27,0.090909091,0.424755711,0.214285714
461,18,1.3873683,28,0.136363636,0.509334639,0.224489796
462,16,1.3076391,32,0.121212121,0.470807603,0.265306122
463,31,1.6261337,34,0.234848485,0.624711732,0.285714286
464,0,1.1191936,25,0,0.379746277,0.193877551
465,24,1.4864661,27,0.181818182,0.557221042,0.214285714
466,26,1.6734514,42,0.196969697,0.647576764,0.367346939
467,29,1.8597906,48,0.21969697,0.737620276,0.428571429
468,0,1.5448366,47,0,0.585427049,0.418367347
469,71,2.040309,65,0.537878788,0.824851039,0.602040816
470,0,1.1365665,28,0,0.388141274,0.224489796
471,36,1.6666666,48,0.272727273,0.644298188,0.428571429
472,18,1.5,51,0.136363636,0.563760943,0.459183673
473,8,1.0445806,26,0.060606061,0.34369151,0.204081633
474,6,0.8619656,15,0.045454545,0.25544762,0.091836735
475,6,0.8619656,15,0.045454545,0.25544762,0.091836735
476,8,0.98558021,17,0.060606061,0.315181125,0.112244898
