Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
391,14,1.2989333,37,0.021943574,0.371554578,0.071090047
392,10,1.1191936,33,0.015673981,0.302392284,0.061611374
393,12,1.2063863,29,0.018808777,0.335943286,0.052132701
394,12,1.2222222,24,0.018808777,0.342036805,0.04028436
395,170,2.3329358,226,0.26645768,0.769429866,0.518957346
396,51,1.9512056,178,0.079937304,0.622543361,0.40521327
397,8,1.2186118,80,0.012539185,0.340647554,0.172985782
398,6,0.8619656,27,0.009404389,0.203413157,0.047393365
399,6,0.84912294,17,0.009404389,0.198471411,0.023696682
400,6,0.8870222,31,0.009404389,0.213054721,0.056872038
401,10,1.1981546,69,0.015673981,0.332775799,0.146919431
402,28,1.8017781,139,0.043887147,0.565044941,0.312796209
403,107,2.2419355,195,0.167711599,0.734413731,0.44549763
404,153,2.3753614,216,0.239811912,0.785754872,0.495260664
405,70,2.0590754,164,0.109717868,0.664050734,0.372037915
406,22,1.5887082,108,0.034482759,0.483057472,0.239336493
407,16,1.31797,62,0.02507837,0.378879736,0.130331754
408,16,1.3006579,45,0.02507837,0.372218189,0.090047393
409,18,1.3845592,50,0.028213166,0.404502689,0.101895735
410,28,1.5405476,57,0.043887147,0.464525687,0.118483412
411,0,1.2241485,47,0,0.342778028,0.09478673
412,0,0.42239243,15,0,0.034269174,0.018957346
413,6,0.91666669,38,0.009404389,0.224461667,0.073459716
414,18,1.4644111,59,0.028213166,0.435229015,0.123222749
415,32,1.8391043,126,0.05015674,0.579407743,0.281990521
416,46,2.0269725,105,0.072100313,0.651697814,0.232227488
417,0,1.5365106,77,0,0.462972284,0.165876777
418,52,1.8750838,149,0.081504702,0.593252345,0.336492891
419,94,2.0746269,186,0.147335423,0.670034818,0.424170616
420,44,1.8815688,156,0.068965517,0.595747718,0.353080569
421,16,1.4028426,64,0.02507837,0.411537985,0.13507109
422,28,1.6734514,75,0.043887147,0.515665928,0.161137441
423,30,1.7257152,88,0.047021944,0.53577659,0.191943128
424,56,1.8962001,91,0.087774295,0.601377716,0.199052133
425,24,1.6666666,78,0.037617555,0.513055196,0.168246445
426,10,1.1768752,57,0.015673981,0.324587668,0.118483412
427,8,1.0697098,50,0.012539185,0.283351342,0.101895735
428,16,1.3873683,48,0.02507837,0.405583607,0.097156398
429,20,1.6261337,55,0.031347962,0.497458483,0.113744076
430,18,1.4635203,60,0.028213166,0.434886243,0.125592417
431,10,1.2196002,73,0.015673981,0.341027882,0.156398104
432,18,1.4896638,89,0.028213166,0.444946037,0.194312796
433,64,2.062937,109,0.10031348,0.665536645,0.241706161
434,69,2.1785276,125,0.10815047,0.710014915,0.279620853
435,69,2.1938319,170,0.10815047,0.715903879,0.386255924
436,58,1.9415878,121,0.090909091,0.618842514,0.27014218
437,24,1.4635203,71,0.037617555,0.434886243,0.151658768
438,0,0.8870222,34,0,0.213054721,0.063981043
439,0,0.9216888,50,0,0.226394132,0.101895735
440,20,1.6981779,67,0.031347962,0.525180473,0.142180095
441,43,2.0855293,74,0.067398119,0.674229968,0.158767773
442,24,1.6828449,69,0.037617555,0.519280467,0.146919431
443,0,1.4744722,41,0,0.43910044,0.08056872
444,14,1.9585886,44,0.021943574,0.625384276,0.087677725
445,168,2.2859364,159,0.263322884,0.7513449,0.360189573
446,20,1.5992693,103,0.031347962,0.487121293,0.227488152
447,12,1.3455029,85,0.018808777,0.38947416,0.184834123
448,26,1.7288883,100,0.040752351,0.536997572,0.220379147
449,112,2.302825,214,0.175548589,0.757843488,0.490521327
450,60,1.9742178,179,0.094043887,0.631398258,0.407582938
451,71,2.0045905,180,0.111285266,0.643085412,0.409952607
452,25,1.7297633,173,0.039184953,0.537334264,0.393364929
453,77,2.1787345,186,0.120689655,0.710094529,0.424170616
454,72,2.0250261,201,0.112852665,0.650948856,0.45971564
455,103,2.1973,229,0.161442006,0.717238374,0.526066351
456,24,1.5448366,70,0.037617555,0.466176057,0.1492891
457,60,1.8416041,81,0.094043887,0.580369644,0.17535545
